VIRLE PIEMONTE ;910;721;9;26;
VISCHE ;1146;920;14;49;
VISTRORIO ;443;350;2;10;
VIU' ;1009;700;5;37;
VOLPIANO ;11628;9166;73;322;
VOLVERA ;6688;5476;32;229;
ACQUI TERME ;16689;13225;117;478;
ALBERA LIGURE ;301;249;1;13;
ALESSANDRIA ;72859;56893;383;1841;
ALFIANO NATTA ;649;516;7;19;
ALICE BEL COLLE ;635;516;9;18;
ALLUVIONI CAMBIO' ;852;712;6;31;
ALTAVILLA MONFERRATO ;418;347;6;18;
ALZANO SCRIVIA ;337;273;2;8;
ARQUATA SCRIVIA ;5031;4105;48;180;
AVOLASCA ;246;190;0;4;
BALZOLA ;1253;1010;17;54;
BASALUZZO ;1697;1409;20;55;
BASSIGNANA ;1417;1159;14;41;
BELFORTE MONFERRATO ;391;343;1;10;
BERGAMASCO ;644;563;4;18;
BERZANO DI TORTONA ;123;101;1;1;
BISTAGNO ;1480;1180;19;59;
BORGHETTO DI BORBERA ;1663;1353;20;62;
BORGORATTO ALESSANDRINO ;528;435;7;21;
BORGO SAN MARTINO ;1104;899;14;41;
BOSCO MARENGO ;2088;1719;20;70;
BOSIO ;1002;792;7;23;
BOZZOLE ;279;243;1;13;
BRIGNANO FRASCATA ;426;361;4;10;
CABELLA LIGURE ;508;396;6;14;
CAMAGNA MONFERRATO ;458;369;3;10;
CAMINO ;682;556;7;33;
CANTALUPO LIGURE ;500;380;8;16;
CAPRIATA D'ORBA ;1585;1336;7;32;
CARBONARA SCRIVIA ;837;687;9;33;
CARENTINO ;268;223;1;4;
CAREZZANO ;385;304;5;13;
CARPENETO ;812;633;9;27;
CARREGA LIGURE ;96;58;3;4;
CARROSIO ;385;317;9;11;
CARTOSIO ;660;520;9;38;
CASAL CERMELLI ;968;806;4;28;
CASALEGGIO BOIRO ;339;286;2;9;
CASALE MONFERRATO ;28712;23009;222;801;
CASALNOCETO ;768;627;4;14;
CASASCO ;120;99;1;3;
CASSANO SPINOLA ;1564;1271;17;57;
CASSINE ;2469;1910;26;104;
CASSINELLE ;751;576;6;28;
CASTELLANIA ;83;72;0;0;
CASTELLAR GUIDOBONO ;345;316;4;13;
CASTELLAZZO BORMIDA ;3684;2894;24;91;
CASTELLETTO D'ERRO ;127;100;1;3;
CASTELLETTO D'ORBA ;1660;1376;19;50;
CASTELLETTO MERLI ;416;330;2;15;
CASTELLETTO MONFERRATO ;1280;1115;4;41;
CASTELNUOVO BORMIDA ;586;446;7;24;
CASTELNUOVO SCRIVIA ;4554;3797;50;136;
CASTELSPINA ;364;287;1;4;
CAVATORE ;245;184;2;8;
CELLA MONTE ;447;381;6;13;
CERESETO ;388;322;6;13;
CERRETO GRUE ;297;250;1;7;
CERRINA ;1291;1031;16;47;
CONIOLO ;380;322;3;11;
CONZANO ;840;700;5;22;
COSTA VESCOVATO ;297;227;1;5;
CREMOLINO ;886;725;18;42;
CUCCARO MONFERRATO ;304;248;8;17;
DENICE ;172;139;2;6;
DERNICE ;218;172;2;3;
FABBRICA CURONE ;658;502;5;15;
FELIZZANO ;1921;1581;24;86;
FRACONALTO ;314;231;3;8;
FRANCAVILLA BISIO ;420;383;17;24;
FRASCARO ;374;286;1;6;
FRASSINELLO MONFERRATO ;481;415;8;20;
FRASSINETO PO ;1213;1016;18;57;
FRESONARA ;611;499;9;19;
FRUGAROLO ;1642;1335;8;44;
FUBINE ;1316;1141;22;51;
GABIANO ;1052;827;18;43;
GAMALERO ;684;547;3;24;
GARBAGNA ;591;496;8;19;
GAVAZZANA ;132;113;0;0;
GAVI ;3808;3179;48;135;
GIAROLE ;602;500;4;14;
GREMIASCO ;302;237;7;15;
GROGNARDO ;277;202;2;7;
GRONDONA ;463;374;4;12;
GUAZZORA ;265;227;2;10;
ISOLA SANT'ANTONIO ;624;516;8;20;
LERMA ;735;592;1;10;
LU ;1033;844;21;50;
MALVICINO ;96;79;3;5;
MASIO ;1239;1003;21;49;
MELAZZO ;1055;811;9;27;
MERANA ;158;128;2;3;
MIRABELLO MONFERRATO ;1154;916;14;31;
MOLARE ;1857;1512;13;63;
MOLINO DEI TORTI ;578;523;30;40;
MOMBELLO MONFERRATO ;967;729;6;23;
MOMPERONE ;191;156;3;6;
MONCESTINO ;185;156;2;10;
MONGIARDINO LIGURE ;174;121;3;3;
MONLEALE ;510;421;2;14;
MONTACUTO ;292;216;2;4;
MONTALDEO ;264;208;4;6;
MONTALDO BORMIDA ;590;482;17;37;
MONTECASTELLO ;296;242;4;10;
MONTECHIARO D'ACQUI ;492;403;5;14;
MONTEGIOCO ;277;232;2;8;
MONTEMARZINO ;310;253;6;11;
MORANO SUL PO ;1271;1052;12;40;
MORBELLO ;392;293;2;13;
MORNESE ;621;525;4;18;
MORSASCO ;611;490;12;20;
MURISENGO ;1289;1027;16;53;
NOVI LIGURE ;22779;18163;140;560;
OCCIMIANO ;1058;914;14;42;
ODALENGO GRANDE ;464;319;5;9;
ODALENGO PICCOLO ;216;181;1;2;
OLIVOLA ;115;98;1;7;
ORSARA BORMIDA ;356;278;1;8;
OTTIGLIO ;558;416;5;13;
OVADA ;9840;8043;64;234;
OVIGLIO ;1094;897;5;30;
OZZANO MONFERRATO ;1305;1002;11;38;
PADERNA ;204;175;2;5;
PARETO ;567;421;7;17;
PARODI LIGURE ;636;485;4;10;
PASTURANA ;946;804;6;24;
PECETTO DI VALENZA ;1090;932;7;23;
PIETRA MARAZZI ;766;647;7;18;
PIOVERA ;654;550;8;24;
POMARO MONFERRATO ;346;291;4;12;
PONTECURONE ;3094;2524;26;87;
PONTESTURA ;1275;1009;10;37;
PONTI ;593;461;8;19;
PONZANO MONFERRATO ;327;244;7;11;
PONZONE ;1027;732;5;24;
POZZOL GROPPO ;329;292;7;9;
POZZOLO FORMIGARO ;3945;3157;34;116;
PRASCO ;449;364;5;21;
PREDOSA ;1715;1356;18;51;
QUARGNENTO ;1144;910;15;37;
QUATTORDIO ;1410;1175;13;51;
RICALDONE ;511;434;8;25;
RIVALTA BORMIDA ;1213;993;17;44;
RIVARONE ;333;274;0;8;
ROCCAFORTE LIGURE ;159;127;2;5;
ROCCA GRIMALDA ;1277;1062;6;41;
ROCCHETTA LIGURE ;189;155;7;11;
ROSIGNANO MONFERRATO ;1356;1120;7;29;
SALA MONFERRATO ;363;320;12;21;
SALE ;3498;2745;26;119;
SAN CRISTOFORO ;507;438;2;11;
SAN GIORGIO MONFERRATO ;1071;877;14;37;
SAN SALVATORE MONFERRATO ;3806;3112;40;123;
SAN SEBASTIANO CURONE ;440;342;3;12;
SANT'AGATA FOSSILI ;374;307;2;19;
SARDIGLIANO ;373;283;4;8;
SAREZZANO ;992;817;7;24;
SERRALUNGA DI CREA ;529;445;6;16;
SERRAVALLE SCRIVIA ;4734;3765;26;120;
SEZZADIO ;1045;837;8;31;
SILVANO D'ORBA ;1586;1322;13;35;
SOLERO ;1412;1181;13;41;
SOLONGHELLO ;195;159;3;9;
SPIGNO MONFERRATO ;982;718;11;34;
SPINETO SCRIVIA ;269;210;1;5;
STAZZANO ;1921;1548;17;48;
STREVI ;1549;1179;11;46;
TAGLIOLO MONFERRATO ;1294;1098;10;36;
TASSAROLO ;492;418;6;12;
TERRUGGIA ;702;616;8;20;
TERZO ;756;605;6;29;
TICINETO ;1140;951;13;38;
TORTONA ;21389;17226;115;432;
TREVILLE ;234;192;1;8;
TRISOBBIO ;560;449;5;12;
VALENZA ;16550;13545;87;410;
VALMACCA ;917;778;8;34;
VIGNALE MONFERRATO ;889;702;13;32;
VIGNOLE BORBERA ;1787;1444;16;55;
VIGUZZOLO ;2579;2193;30;76;
VILLADEATI ;433;324;1;8;
VILLALVERNIA ;791;660;8;15;
VILLAMIROGLIO ;308;241;2;6;
VILLANOVA MONFERRATO ;1531;1257;14;52;
VILLAROMAGNANO ;645;561;4;14;
VISONE ;973;776;8;18;
VOLPEDO ;983;835;7;19;
VOLPEGLINO ;141;113;3;4;
VOLTAGGIO ;664;541;6;14;
AGLIANO TERME ;1390;1141;34;65;
ALBUGNANO ;392;300;6;15;
ANTIGNANO ;869;685;9;34;
ARAMENGO ;520;418;5;28;
ASTI ;58602;45874;508;1665;
AZZANO D'ASTI ;331;283;5;12;
BALDICHIERI D'ASTI ;775;623;13;29;
BELVEGLIO ;261;208;3;4;
BERZANO DI SAN PIETRO ;320;259;3;15;
BRUNO ;312;263;3;14;
BUBBIO ;746;648;28;48;
BUTTIGLIERA D'ASTI ;1933;1615;10;52;
CALAMANDRANA ;1317;1136;34;62;
CALLIANO ;1165;961;44;73;
CALOSSO ;1048;845;24;52;
CAMERANO CASASCO ;397;310;4;9;
CANELLI ;7997;6421;92;234;
CANTARANA ;746;630;15;29;
CAPRIGLIO ;248;212;4;10;
CASORZO ;564;475;7;30;
CASSINASCO ;471;393;9;14;
CASTAGNOLE DELLE LANZE ;2938;2458;44;127;
CASTAGNOLE MONFERRATO ;1060;821;13;24;
CASTEL BOGLIONE ;522;426;13;19;
CASTELL'ALFERO ;2251;1856;36;76;
CASTELLERO ;264;220;2;7;
CASTELLETTO MOLINA ;132;109;3;9;
CASTELLO DI ANNONE ;1490;1202;20;53;
CASTELNUOVO BELBO ;718;613;18;46;
CASTELNUOVO CALCEA ;644;515;18;33;
CASTELNUOVO DON BOSCO ;2557;2007;29;76;
CASTEL ROCCHERO ;306;236;8;9;
CELLARENGO ;563;484;4;19;
CELLE ENOMONDO ;398;318;7;15;
CERRETO D'ASTI ;230;183;2;7;
CERRO TANARO ;512;420;7;11;
CESSOLE ;335;264;7;20;
CHIUSANO D'ASTI ;209;160;3;10;
CINAGLIO ;387;299;12;19;
CISTERNA D'ASTI ;963;811;11;34;
COAZZOLO ;224;201;3;7;
COCCONATO ;1258;1007;15;46;
CORSIONE ;162;138;2;8;
CORTANDONE ;251;199;6;16;
CORTANZE ;219;181;0;6;
CORTAZZONE ;538;420;7;19;
CORTIGLIONE ;449;366;12;17;
COSSOMBRATO ;389;326;7;16;
COSTIGLIOLE D'ASTI ;4707;3793;67;170;
CUNICO ;406;345;9;14;
DUSINO SAN MICHELE ;760;623;6;29;
FERRERE ;1284;1021;19;48;
FONTANILE ;435;372;6;16;
FRINCO ;607;494;12;24;
GRANA ;481;401;11;34;
GRAZZANO BADOGLIO ;526;405;2;12;
INCISA SCAPACCINO ;1689;1354;31;68;
ISOLA D'ASTI ;1736;1427;28;64;
LOAZZOLO ;283;230;4;8;
MARANZANA ;258;186;1;3;
MARETTO ;316;258;3;10;
MOASCA ;361;311;6;16;
MOMBALDONE ;194;157;4;9;
MOMBARUZZO ;895;721;26;55;
MOMBERCELLI ;1875;1515;34;80;
MONALE ;794;671;11;24;
MONASTERO BORMIDA ;808;709;35;66;
MONCALVO ;2676;2117;37;97;
MONCUCCO TORINESE ;705;548;8;24;
MONGARDINO ;821;648;11;31;
MONTABONE ;329;271;5;14;
MONTAFIA ;807;640;15;29;
MONTALDO SCARAMPI ;610;485;13;31;
MONTECHIARO D'ASTI ;1077;921;12;38;
MONTEGROSSO D'ASTI ;1781;1472;20;63;
MONTEMAGNO ;988;714;17;39;
MONTIGLIO MONFERRATO ;1446;1182;48;101;
MORANSENGO ;189;153;5;10;
NIZZA MONFERRATO ;7771;6280;107;307;
OLMO GENTILE ;78;60;2;3;
PASSERANO MARMORITO ;391;291;2;9;
PENANGO ;446;367;2;11;
PIEA ;479;367;15;29;
PINO D'ASTI ;192;141;4;10;
PIOVA' MASSAIA ;536;434;10;22;
PORTACOMARO ;1677;1341;14;42;
QUARANTI ;168;132;2;10;
REFRANCORE ;1348;1065;20;54;
REVIGLIASCO D'ASTI ;717;609;8;27;
ROATTO ;332;285;7;15;
ROBELLA ;464;375;6;15;
ROCCA D'ARAZZO ;810;642;23;40;
ROCCAVERANO ;402;320;6;19;
ROCCHETTA PALAFEA ;321;247;8;12;
ROCCHETTA TANARO ;1168;967;23;57;
SAN DAMIANO D'ASTI ;6120;4924;116;252;
SAN GIORGIO SCARAMPI ;95;86;5;7;
SAN MARTINO ALFIERI ;601;499;11;35;
SAN MARZANO OLIVETO ;870;727;13;34;
SAN PAOLO SOLBRITO ;959;790;16;37;
SCURZOLENGO ;525;398;9;21;
SEROLE ;129;105;5;10;
SESSAME ;236;195;2;10;
SETTIME ;460;351;7;24;
SOGLIO ;134;121;2;4;
TIGLIOLE ;1446;1137;22;61;
TONCO ;749;583;11;30;
TONENGO ;172;123;5;10;
VAGLIO SERRA ;223;182;6;12;
VALFENERA ;1865;1538;31;69;
VESIME ;537;432;8;21;
VIALE D'ASTI ;219;173;3;9;
VIARIGI ;834;651;16;45;
VIGLIANO D'ASTI ;686;530;5;25;
VILLAFRANCA D'ASTI ;2476;1955;39;93;
VILLANOVA D'ASTI ;4045;3406;64;152;
VILLA SAN SECONDO ;350;275;5;13;
VINCHIO ;549;459;22;36;
AILOCHE ;267;209;1;11;
ANDORNO MICCA ;2866;2296;18;69;
BENNA ;952;797;10;49;
BIELLA ;37296;30135;212;1018;
BIOGLIO ;913;708;6;38;
BORRIANA ;769;609;8;24;
BRUSNENGO ;1836;1452;16;67;
CALLABIANA ;132;115;1;2;
CAMANDONA ;326;262;3;20;
CAMBURZANO ;1027;838;4;30;
